risk_rank,company,primary_product,complaint_count,untimely_rate_pct,dispute_rate_pct,states,peak_monthly_complaints,maximum_monthly_growth_pct,risk_score
259,TransferWise Ltd,"Money transfer, virtual currency, or money service",2,0.0,0.0,2,2,0.0,26.92
260,U.S. Auto Credit Corporation,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
261,United PanAm Financial Corp.,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
262,"Upstart Holdings, Inc.",Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
263,"VANDERBILT MORTGAGE & FINANCE, INC",Mortgage,2,0.0,0.0,1,2,0.0,26.92
264,"WESTERN UNION COMPANY, THE","Money transfer, virtual currency, or money service",2,0.0,0.0,2,2,0.0,26.92
265,"Waypoint Resource Group, LLC",Debt collection,2,0.0,0.0,2,2,0.0,26.92
266,1st Franklin Financial Corporation,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
267,"4M Collections, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
268,90 Day Credit Experts,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
269,A&D Mortgage LLC,Mortgage,1,0.0,0.0,1,1,0.0,0.0
270,"A+ Loans, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
271,ADIR INTERNATIONAL LLC,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
272,AES/PHEAA,Student loan,1,0.0,0.0,1,1,0.0,0.0
273,"AMCOL Systems, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
274,AMERICA FIRST FEDERAL CREDIT UNION,Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
275,"ARC Management Group, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
276,"ARS National Services, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
277,"ARVEST BANK GROUP, INC.",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
278,"AUDIT SYSTEMS,INC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
279,"AUSSRQ Holdings, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
280,Accelerated Receivables Solutions,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
281,Activehours,"Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
282,"Advantage Auto Sales, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
283,"Advantage Credit, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
284,Albert Corporation,Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
285,All Debt Solutions Inc. dba: 1st Class Agency,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
286,Alorica Inc.,Debt collection,1,0.0,0.0,1,1,0.0,0.0
287,"Alpine Credit, Inc",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
288,American Coradius International LLC,Debt collection,1,0.0,0.0,1,1,0.0,0.0
289,"American Heritage Lending, LLC",Mortgage,1,0.0,0.0,1,1,0.0,0.0
290,American Lending Finance,Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
291,"Apelles, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
292,"Arbor Professional Solutions, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
293,"Aspen National Financial, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
294,"Atlas Credit Company, Inc.","Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
295,"Atlas Exploration, Inc.",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
296,Auto Loan Inc.,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
297,"AutoStar Finance, Inc - D/B/A Atlanta AutoStar",Debt collection,1,0.0,0.0,1,1,0.0,0.0
298,Automotive Financial Services,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
299,"Axela Technologies, Inc",Debt collection,1,0.0,0.0,1,1,0.0,0.0
