agency,payee_name,check_amount,issue_date,spending_category,expense_category,contract_id,duplicate_like,missing_contract,round_amount,category_outlier,anomaly_score,rule_count,evidence_score
Miscellaneous,MTA BUS COMPANY,43000000.0,2023-07-26,Contracts,PAY TO METRO TRANSPORT AUTHOR,CT100220060028251,0,0,1,0,0.7245918648661592,1,76.41206666666666
City University Construction Fund,DEPARTMENT OF FINANCE,38585420.5,2024-06-28,Trust & Agency,OTHER EXPENDITURES-REPORTABLE,,0,0,0,1,0.7294055070130491,1,76.41116666666667
City University Construction Fund,DEPARTMENT OF FINANCE,37686177.9,2024-06-28,Trust & Agency,OTHER EXPENDITURES-REPORTABLE,,0,0,0,1,0.7294055070130491,1,76.41036666666666
Pension Contributions,NEW YORK CITY BOARD OF EDUCATION RETIREMENT SYSTEM,18206876.0,2023-07-17,Contracts,BOARD OF EDUCATION RETIRE. SYS,PON1040FY2024-BERS,0,0,0,1,0.7324819684077071,1,76.38796666666667
Pension Contributions,NEW YORK CITY BOARD OF EDUCATION RETIREMENT SYSTEM,18206876.0,2023-11-17,Contracts,BOARD OF EDUCATION RETIRE. SYS,PON1040FY2024-BERS,0,0,0,1,0.7324819684077071,1,76.38796666666667
Pension Contributions,NEW YORK CITY BOARD OF EDUCATION RETIREMENT SYSTEM,18206876.0,2023-12-21,Contracts,BOARD OF EDUCATION RETIRE. SYS,PON1040FY2024-BERS,0,0,0,1,0.7324819684077071,1,76.38796666666667
Pension Contributions,NEW YORK CITY BOARD OF EDUCATION RETIREMENT SYSTEM,18206876.0,2024-03-18,Contracts,BOARD OF EDUCATION RETIRE. SYS,PON1040FY2024-BERS,0,0,0,1,0.7324819684077071,1,76.38796666666667
Housing Preservation and Development,JOE BK 2 CLUSTER LLC,26956668.0,2023-07-11,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620232017050,0,0,0,1,0.7188147617948901,1,76.37606666666667
Department of Education,SE INSTR & SCH LEADERSHIP - PS,44396949.67,2024-02-29,Payroll,Payroll Summary,,0,0,0,1,0.7151871794599094,1,76.36676666666666
Department of Education,SE INSTR & SCH LEADERSHIP - PS,44374549.01,2024-04-15,Payroll,Payroll Summary,,0,0,0,1,0.7151871794599094,1,76.36596666666667
Miscellaneous,FRINGE BENEFITS,36194915.5,2024-06-21,Payroll,Payroll Summary,,0,0,0,1,0.7159546783140404,1,76.36026666666666
Fire Department,FIRE EXTING AND EMERG RESP,22077543.66,2024-01-19,Payroll,Payroll Summary,,0,0,0,1,0.7182661438119529,1,76.35966666666667
Miscellaneous,FRINGE BENEFITS,36185848.88,2024-01-05,Payroll,Payroll Summary,,0,0,0,1,0.7159546783140404,1,76.35946666666666
Department of Education,SE INSTR & SCH LEADERSHIP - PS,42963968.92,2023-12-29,Payroll,Payroll Summary,,0,0,0,1,0.7149184044999586,1,76.35906666666666
Department of Education,SE INSTR & SCH LEADERSHIP - PS,42792172.94,2023-12-15,Payroll,Payroll Summary,,0,0,0,1,0.7149184044999586,1,76.35666666666667
Miscellaneous,FRINGE BENEFITS,33623479.84,2023-07-21,Payroll,Payroll Summary,,0,0,0,1,0.7159546783140404,1,76.35626666666667
Department of Education,SE INSTR & SCH LEADERSHIP - PS,41640845.99,2023-07-14,Payroll,Payroll Summary,,0,0,0,1,0.7149184044999586,1,76.35586666666666
Department of Education,NYC SCHOOL SUPPORT SERVICES INC,68770788.0,2024-01-16,Contracts,MAINT & OPER OF INFRASTRUCTURE,CT104020219150300,0,0,0,1,0.712713493161908,1,76.35006666666666
Miscellaneous,FRINGE BENEFITS,31620415.09,2023-07-07,Payroll,Payroll Summary,,0,0,0,1,0.7154166526425393,1,76.34866666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,16745074.99,2024-05-15,Payroll,Payroll Summary,,0,0,0,1,0.7165043138703939,1,76.33316666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,16733061.63,2024-02-29,Payroll,Payroll Summary,,0,0,0,1,0.7165043138703939,1,76.33236666666667
Department of Education,FRINGE BENEFITS - PS,32471819.04,2024-04-15,Payroll,Payroll Summary,,0,0,0,1,0.7129618808327586,1,76.33026666666666
Department of Education,GE INSTR & SCH LEADERSHIP - PS,16171871.43,2023-10-16,Payroll,Payroll Summary,,0,0,0,1,0.716235043917302,1,76.32556666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,16113714.01,2024-01-16,Payroll,Payroll Summary,,0,0,0,1,0.716235043917302,1,76.32476666666668
Department of Education,SE INSTR & SCH LEADERSHIP - PS,31843951.2,2023-09-25,Payroll,Payroll Summary,,0,0,0,1,0.712448429675104,1,76.32426666666666
Department of Education,CW SE INSTR & SCHL LEADERSHIP - PS,23745133.65,2024-04-15,Payroll,Payroll Summary,,0,0,0,1,0.713455694484806,1,76.32406666666667
Transit Authority,METROPOLITAN TRANSPORTATION AUTHORITY,12202899.62,2024-02-12,Capital Contracts,IOTB CONSTRUCTION,CT199820221403406,0,0,0,1,0.7175583222191106,1,76.31826666666666
Department of Education,FRINGE BENEFITS - PS,30986589.88,2023-11-15,Payroll,Payroll Summary,,0,0,0,1,0.7113003069651029,1,76.31636666666667
Department of Education,FRINGE BENEFITS - PS,30364873.58,2023-12-15,Payroll,Payroll Summary,,0,0,0,1,0.7113003069651029,1,76.31476666666666
SCHOOL CONSTRUCTION AUTHORITY,DELL MARKETING LP,67123437.5,2024-03-29,Capital Contracts,CONSTRUCTION-BUILDINGS,PON10442433634,0,0,0,1,0.7048939292978617,1,76.31326666666666
Administration for Children's Services,Flagstar Bank NA,27539876.0,2023-08-25,Others,DAY CARE OF CHILDREN,,0,0,0,1,0.7119458832152096,1,76.31286666666666
Board of Elections,PERSONAL SERVICES,11455306.59,2024-04-26,Payroll,Payroll Summary,,0,0,0,1,0.7182557078278101,1,76.30746666666667
Department of Education,FRINGE BENEFITS - PS,27625465.4,2023-07-31,Payroll,Payroll Summary,,0,0,0,1,0.7102316526438532,1,76.30376666666666
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,29791325.0,2024-06-26,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,0,0,0,1,0.7090308355349082,1,76.30226666666667
Department of Education,FRINGE BENEFITS - PS,27454468.56,2023-08-31,Payroll,Payroll Summary,,0,0,0,1,0.7102316526438532,1,76.30216666666666
Housing Preservation and Development,NEW YORK CITY HOUSING DEVELOPMENT CORP,27773021.0,2023-07-10,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620232016834,0,0,0,1,0.7074778485312564,1,76.29106666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,11857894.58,2023-07-13,Payroll,Payroll Summary,,0,0,0,1,0.7132797449118582,1,76.27486666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,11776121.6,2023-07-14,Payroll,Payroll Summary,,0,0,0,1,0.7132797449118582,1,76.27326666666667
Police Department,OPERATIONS,22221158.96,2023-08-18,Payroll,Payroll Summary,,0,0,0,1,0.7048227233849322,1,76.27306666666667
Housing Preservation and Development,864 BPS APARTMENTS,14903908.0,2024-03-04,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620242006933,0,0,0,1,0.70973234394726,1,76.27306666666667
Department of Education,GE INSTR & SCH LEADERSHIP - OTPS,18731210.0,2023-11-30,Payroll,Payroll Summary,,0,0,0,1,0.7049667867844386,1,76.27206666666666
Department of Youth and Community Development,DEPT OF YOUTH & COMM DVLPMNT,21521668.0,2023-08-04,Others,SUMMER YOUTH EMPLOYMENT WAGES,,0,0,0,1,0.7037295847783258,1,76.26526666666666
